"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"EverAthlete: RideStrong Stability","Strength","","0.75","","2023-01-06","","0","","","","","0.586218595504761","0","","","","85","127","","","0.540718953724573","18.73","27","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-06","","832.280029296875","","","","","0.191467776894569","1.20700001716614","","88","","110","140","","","0.403430433833095","3.32","12","0","0","0","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2023-01-06","","2445.7099609375","149","315","73.283","","0.141094729304314","4.81500005722046","","75","","133","147","","","0.584076368110898","4.53","8","0","0","0","0","","","","","","5","2","1","0","0","0","","","","","",""
"Mountain Biking","MTB","","","","2023-01-06","","2311.71997070313","111","373","45.126","","0.113271668553352","5.66900014877319","","73","","112","127","","","0.517723702251372","2.82","7","0","0","0","0","","","","","","5","2","0","0","0","0","","","","","",""
"SHORT SPRINTS - STEADY SPIN","MTB","STEADY SPIN IN THE 140-155HR RANGES MAINLY WITH FEW BREAKS - FOCUS ON WORKING SMOOTH AND WITH A NATURAL CADENCE - Warm up and ride into the 130-140 ranges. Check your bio feedback here. If you feel good fatigue, add more warm up and back off the ranges for the day- Once fluid spin in the 145-155HR range for most of the day - Add easier spin breaks when needed - Toss in a handful of 10-20 second all out sprints through the day. Keep it simple today.","2.5","","2023-01-06","ADD SHORT EFFORTS RANDOMLY IF OUTSIDE - IF THE LEGS HURT, BAG THE SHORT EFFORTS AND STEADY SPIN IT FOR THE DAY","32210.41015625","138","643","1210.787"," *01/05/2023 Abigail Snyder: Switching ride/rest day because we have dinner plans on Saturday that would mean I'd need to get up at 4 a.m in order to get 2.5 hours in before work... and I'd really rather just ride in the daylight when I get off work at 4:30 p.m. on Friday... and enjoy Saturday with friends.* *01/07/2023 Abigail Snyder: Legs felt dull. No snap. Crashed and banged up knee… went from putting an effort in to surviving.*","2.43819642066956","3.67000007629395","","76","","138","164","","","0.652599378432617","103.51","122","29","2","0","0","","","","","","79","34","16","9","4","4","","","","","5","5"
"Walking","Walk","","","","2023-01-07","","890.859985351563","","","","","0.247079163789749","1.00199997425079","","66","","105","119","","","0.327828469817359","2.84","15","0","0","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2023-01-07","","2370.6298828125","","","","","0.145762503147125","4.51800012588501","","","","110","162","","","0.611656703427591","5.76","0","2","3","2","1","1","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2023-01-07","","2587.48999023438","","","","","0.130540832877159","5.50600004196167","","","","117","138","","","0.615077245277089","5.2","0","0","2","4","1","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-08","","2104.7099609375","","","","","0.483475804328918","1.20899999141693","","76","","93","107","","","0.414328944236713","9.03","29","0","0","0","0","","","","","","","","","","","","","","","","",""
"LONG TEMPO EFFORTS","MTB","FOCUS ON STEADY TEMPO SPIN FOR 20-30 MINUTE PERIODS - STEADY EASIER SPINNING BETWEEN EFFORTS - Warm up and ride into the 130 ranges, add a few jumps, get the system going - Check your bio feedback here. When warmed up and ready, choose sections of trail or roads, especially on the hill grades and climbs, and spin mainly seated into the 150-160HR ranges for duration s of 10-20 plus minutes - Power goal can be 280 - 300 watts, just keep HR under 165 - If you feel good and can work up to 30 min efforts, go for it - Easier, steady spin for between all efforts today, 130-140's HR - Work efforts on and off all day until speed and power drops - If speed or power doesn't drop, work these all day and have fun with it - Remember, push speed and power, keep breath deep and HR in line","4","","2023-01-08","GOAL IS TO WORK THIS RANGE ALL DAY, BE FLUID, HAVE FUN, KEEP IT SIMPLE TODAY","40244.62890625","138","655","1643.896"," *01/08/2023 Abigail Snyder: Heart rate strap wouldn’t connect—maybe a dead battery? Rode with a buddy at mostly endurance pace, though the climbs definitely pushed me today. Only managed 3 hours, but with the rain and cold (my bars had ice coating them when I finished), that’s going to be it for today. Definitely tired by the end.* *01/08/2023 Abigail Snyder: Also, gravel event was canceled due to weather, so this was a mtb ride.*","3.32272052764893","3.36400008201599","","73","","","","","","0.674375390172914","150.59","","","","","","","","","","","105","32","28","19","8","7","","","","","7","5"
"FORCE EFFORTS EARLY - MODERATE FAST PACE EFFORTS TO END","Bike","WORK INTO HILLS AND GRIND OUT SEATED/STANDING FORCE EFFORTS EARLY RIDE, THEN FOCUS ON FAST PACED EFFORT IN THE SUB LT/LT RANGE TO END - Warm up into the 140's HR, check how you feel - When ready, early ride, shift a gear or two harder (or use a single speed) Work both standing and seated and grind a few hills - Seek out any incline or hill, can be shorter 30-60 seconds or longer 1-3 plus minute efforts - HR can rise into the 160-170's, cadence 50-70 rpm - power goal 300-500 watts - Work a handful of force efforts first half of the ride, 4-8 efforts - Second half of the ride get into race pace efforts, aim for longer 5-10 minute sustained efforts - HR can rise anywhere in the 160-175 HR range, Power goal anywhere from 260-310 watts - Focus more on a fast paced effort and bike handling than the numbers but use the numbers to guide you - Keep plenty of easier spin between efforts today","2.5","","2023-01-09","A COMBO OF FORCE AND SPEED AT THE END, HAVE FUN WITH IT - INDOORS 60-90 MIN","60009.98046875","181","580","2018.647"," *01/09/2023 Abigail Snyder: Felt pretty broken at the start, but eased into it. Really struggled to get into SubLT range on the second half... felt like I was pushing hard, but had no real response.*","3.11923289299011","5.3439998626709","","76","","144","164","","","0.780273121202939","189.09","0","1","3","31","80","73","0","","","","64","44","37","25","9","8","","","","","",""
"EverAthlete: RideStrong Strength","Strength","","0.75","","2023-01-09","","0","","","","","0.77903163433075","0","","","","95","146","","","0.56500950544428","27.37","45","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-09","","709.700012207031","","","","","0.173535272479057","1.1360000371933","","81","","98","107","","","0.390601185379804","2.8","10","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-10","","1435.03002929688","","","","","0.328066676855087","1.2150000333786","","80","","91","102","","","0.429837726812771","6.54","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"EverAthlete: Core","Strength","Complete Ride Strong Strength Cycle A weekly core session.","0.5","","2023-01-11","","0","","","","","0.440804988145828","0","","","","77","92","","","0.525751240906875","13.22","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"EASY SPIN","MTB","KEEP IT EASY TODAY AND SPIN IN THE 130-150 HR RANGE KEEP IT EASY AND LIGHT AND WORK WITH A NATURAL CADENCE ---- keep today to a steady spin in the 130-150HR ranges where you feel comfortable spinning. No need to push it today.Try to keep 130 HR as a minimum HR range to maintain.","1","0","2023-01-11","EASY - RECOVERY THEMED","16939.25","154","584","537.852"," *01/11/2023 Abigail Snyder: Terrain pushed me out of zones a few times, but tried to keep it easy in between short hills.*","0.970890045166016","4.84600019454956","","78","","135","171","","","0.708093014398868","48.36","45","11","4","0","0","","","","","","33","11","6","3","2","3","","","","","",""
"Mountain Biking","MTB","","","","2023-01-11","","2341.34008789063","118","335","58.442","","0.141544997692108","4.59499979019165","","76","","","","","","0.521324090120684","3.64","","","","","","","","","","","6","1","0","0","0","0","","","","","",""
"Mountain Biking","MTB","","","","2023-01-11","","2284.97998046875","109","440","49.348","","0.125258326530457","5.06699991226196","","77","","","","","","0.493172051059133","2.86","","","","","","","","","","","5","2","0","0","0","0","","","","","",""
"Walking","Walk","","","","2023-01-11","","1006.69000244141","","","","","0.281261384487152","0.994000017642975","","60","","83","113","","","0.345746934666051","3.61","15","0","0","0","0","","","","","","","","","","","","","","","","",""
"EverAthlete: Core","Strength","Complete Ride Strong Strength Cycle A weekly core session.","0.5","","2023-01-12","","0","","","","","0.433445572853088","0","","","","85","103","","","0.530328401646793","13.22","24","0","0","0","0","","","","","","","","","","","","","","","","",""
"TEMPO ON CLIMBS/FEW SPRINTS TO END","MTB","GOAL IS TO WORK IN A STEADY FLOW, HR IN THE 150-160 RANGES, WITH FEWER BREAKS - SPIN SMOOTH AND WITH A NATURAL, SLIGHTLY FASTER CADENCE - ON CLIMBS, HOLD TEMPO RANGES BUT KEEP IT THERE - Warm up into the 140's HR and check bio feedback as always, if feeling greater fatigue, higher PE, add more warm up - When feeling good, get into a steady fluid endurance pace today in the 140-155HR ranges - Keep breath deep and tap on the pedals - On all climbs, tempo spin it, 150-160 HR range, as much speed and power but cap HR at 165 - Keep it this simple all day, with fewer breaks. - END OF RIDE, WORK IN 2-3 30-40 SECOND SPRINTS, RAMPING UP TO ALL OUT IN THE LAST 10 SECONDS OF THE SPRINT - If outdoors spring in safe places!","1.41666666666667","","2023-01-12","GET THE LEGS SPINNING FLUID, FEW SPRINTS - KEEP IT SIMPLE TODAY","20100.1796875","158","840","778.832"," *01/12/2023 Abigail Snyder: So tired by the end of the climbs. SS on Mill is hard.*","1.38124549388885","4.04199981689453","","61","","143","173","","","0.799693738365169","87.86","43","18","23","1","0","","","","","","44","9","10","7","5","7","","","","","7","5"
"Walking","Walk","","","","2023-01-12","","500.230010986328","","","","","0.134424448013306","1.03400003910065","","75","","91","115","","","0.372403692708125","1.97","8","0","0","0","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2023-01-12","","2359.93994140625","111","445","57.155","","0.142649456858635","4.59499979019165","","79","","110","151","","","0.522852141981365","3.68","9","0","0","0","0","","","","","","6","2","0","0","0","0","","","","","",""
"Mountain Biking","MTB","","","","2023-01-12","","2351.52001953125","113","377","61.315","","0.151032492518425","4.32499980926514","","71","","","","","","0.506382876441598","3.66","","","","","","","","","","","7","1","0","0","0","0","","","","","",""
"EverAthlete: RideStrong Strength","Strength","","0.75","","2023-01-13","","0","","","","","0.757946074008942","0","","","","87","110","","","0.537588372571744","24.1","43","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-13","","904.419982910156","","","","","0.195187792181969","1.28699994087219","","88","","103","116","","","0.420510070927576","3.67","12","0","0","0","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2023-01-13","","2381.55004882813","131","367","75.88","","0.160286113619804","4.1269998550415","","71","","134","155","","","0.575557649982657","5.04","9","1","0","0","0","","","","","","6","2","1","0","0","0","","","","","",""
"Mountain Biking","MTB","","","","2023-01-13","","2290.42993164063","110","412","51.52","","0.1300950050354","4.89099979400635","","77","","128","141","","","0.519816232466359","3.29","8","0","0","0","0","","","","","","6","1","0","0","0","0","","","","","",""
"Walking","Walk","","","","2023-01-14","","920.549987792969","","","","","0.271979451179504","0.939999997615814","","69","","101","152","","","0.335740996431943","3.29","15","0","0","0","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2023-01-14","","6028.47021484375","125","777","237.126"," *01/14/2023 Abigail Snyder: Pre-ride... I rode after too, but only enough to cool down. It was freezing and I didn't like the idea of standing around in a wet kit, then getting back on... besides climbing any of those hills again sounded like death. LOL*","0.527331352233887","3.17600011825562","","71","","127","170","","","0.781601060735026","31.78","26","4","2","0","0","","","","","","20","4","2","2","2","3","","","","","4","5"
"MTX #1 2023","MTB","","","","2023-01-14","","14427.080078125","196","759","700.79"," *01/14/2023 Abigail Snyder: Oof! Singlespeed racing is HARD!!! Super fun and addicting though!* *01/14/2023 Abigail Snyder: Ran the 34x22 gear that I've been running on my home trails, and for this course, I think it was about perfect. There were definitely some flat sections where I was spinning out, but I don't think I could have pushed any harder of a gear on the one climb towards the middle of the course.*","0.997248589992523","4.01900005340576","","72","","162","180","","","0.877255625348081","76.16","4","13","31","16","3","","","","","","25","9","5","5","4","11","","","","","9","5"
"Commute","Bike","","","","2023-01-15","","2409.18994140625","","","","","0.135078892111778","4.9539999961853","","","","125","139","","","0.616242906900994","5.41","0","0","1","6","1","0","0","","","","","","","","","","","","","","",""
"STEADY ENDURANCE","Bike","STEADY PACE IN THE 140-155 RANGES MAINLY WITH FEW BREAKS - WORK WITH A SLIGHTLY FASTER CADENCE THE WHOLE TIME TODAY - Warm up and ride into the 130-140 ranges. Check your bio feedback here. Where is your breath? Where is your PE? How do your legs feel? If you feel good fatigue, add more warm up and back off the ranges for the day- If you feel good then spin in the 140-155 range for most of the ride today - Spin seated with a slightly faster cadence today, all day long - Add easier spin breaks when needed - If normal cadence is in the 85RPM range, aim for 90 plus on longer segments","1.5","","2023-01-15","FLUID SPIN, CAN BE LONGER, JUST GO FOR IT - TAP ON THE PEDALS, KEEP IT FUN","40456.19921875","176","569","1149.951"," *01/15/2023 Abigail Snyder: Actually felt like I was “tapping on the pedals” for maybe the first time. Maybe that’s what happens after you ride a SS all week. 🤣*","1.82055473327637","6.1729998588562","","84","","136","160","","","0.72242986777401","94.64","0","1","6","24","61","17","0","","","","39","36","19","8","3","3","","","","","5","3"
"Walking","Walk","","","","2023-01-15","","1019.08001708984","","","","","0.32854026556015","0.861999988555908","","52","","86","108","","","0.325271425937583","3.75","19","0","0","0","0","","","","","","","","","","","","","","","","",""
"Commute","Bike","","","","2023-01-15","","2327.73999023438","","","","","0.116644717752934","5.54300022125244","","","","113","128","","","0.615933235690596","4.65","0","0","3","4","0","0","0","","","","","","","","","","","","","","",""
"TEMPO ON CLIMBS - HIGH RPM","Bike","GOAL IS TO WORK IN A STEADY FLOW, WITH FEWER BREAKS - SPIN SMOOTH AND WITH A NATURAL, SLIGHTLY FASTER CADENCE - ON CLIMBS, HOLD TEMPO RANGES BUT KEEP IT THERE - Warm up into the 130's HR and check bio feedback as always, if feeling greater fatigue, higher PE, add more warm up - When feeling good, get into a steady fluid endurance pace today in the 140-150HR ranges - Keep breath deep and tap on the pedals and work a higher RPM than normal- On all climbs, tempo spin it, 150-160 HR range, as much speed and power but cap HR at 165 - WORK WITH A SLIGHTLY FASTER CADENCE WITH TEMPO, 90-100 RPM RANGE - Keep it this simple all day, with fewer breaks.","3","","2023-01-16","SHORT TEMPO - JUST LIKE TUESDAY, BUT WORK A HIGHER RPM TODAY, JUST BY 5-7 RPMS","88049.4765625","174","634","2509.73"," *01/16/2023 Abigail Snyder: Group gravel ride with a couple friends. Started fading about 3/4 of the way through, but revived by the end (after slamming a few gels). A little underdressed and cold by the end as well.*","4.00658464431763","6.10400009155273","","80","","142","171","","","0.76907867225583","236.31","0","1","14","48","78","99","0","","","","95","49","41","30","14","11","","","","","8","5"
"Walking","Walk","","","","2023-01-16","","1321.81005859375","","","","","0.307975560426712","1.19200003147125","","81","","97","142","","","0.411805555401563","5.61","18","0","0","0","0","","","","","","","","","","","","","","","","",""
"EverAthlete: RideStrong Strength","Strength","","0.75","","2023-01-17","","0","","","","","0.726975560188293","0","","","","84","130","","","0.54180198208483","23.45","32","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-17","","675.97998046875","","","","","0.164611950516701","1.14100003242493","","83","","86","99","","","0.397890109176699","2.76","10","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-17","","2010.52001953125","","","","","0.448832213878632","1.24399995803833","","89","","82","93","","","0.41545578658303","8.42","27","0","0","0","0","","","","","","","","","","","","","","","","",""
"EverAthlete: Core","Strength","Complete Ride Strong Strength Cycle A weekly core session.","0.5","","2023-01-18","","0","","","","","0.433860272169113","0","","","","77","99","","","0.526393975214953","13.04","17","0","0","0","0","","","","","","","","","","","","","","","","",""
"Commute","Bike","","","","2023-01-18","","2371.080078125","","","","","0.142573058605194","4.61999988555908","","","","106","120","","","0.599016404335324","5.4","0","2","3","4","0","0","0","","","","","","","","","","","","","","",""
"STEADY ENDURANCE","Bike","STEADY PACE IN THE 140-155 RANGES MAINLY WITH FEW BREAKS - WORK WITH A SLIGHTLY FASTER CADENCE THE WHOLE TIME TODAY - Warm up and ride into the 130-140 ranges. Check your bio feedback here. Where is your breath? Where is your PE? How do your legs feel? If you feel good fatigue, add more warm up and back off the ranges for the day- If you feel good then spin in the 140-155 range for most of the ride today - Spin seated with a slightly faster cadence today, all day long - Add easier spin breaks when needed - If normal cadence is in the 85RPM range, aim for 90 plus on longer segments","1","","2023-01-18","FLUID SPIN, CAN BE LONGER, JUST GO FOR IT - TAP ON THE PEDALS, KEEP IT FUN","23876.640625","178","569","655.716"," *01/18/2023 Abigail Snyder: Felt like hr trended low, but just rode it out. Felt decent overall... legs a little heavy; could tell I lifted yesterday.*","1.02482867240906","6.47200012207031","","84","","129","159","","","0.775984714878618","61.19","2","3","7","15","26","8","0","","","","23","15","10","6","4","3","","","","","",""
"Walking","Walk","","","","2023-01-18","","1047.88000488281","","","","","0.175125569105148","1.66199994087219","","102","","115","139","","","0.540351414489505","5.42","10","0","0","0","0","","","","","","","","","","","","","","","","",""
"Commute","Bike","","","","2023-01-18","","2180.25","51","293","33.745","","0.186935558915138","3.24000000953674","","73","","100","118","","","0.372047915835278","2.48","0","4","5","3","0","0","0","","","","10","1","0","0","0","0","","","","","",""
"MID RIDE LONG TEMPO/FEW SPRINTS TO END","Bike","WARM UP WELL TODAY, WORK A FEW TEMPO EFFORTS MID RIDE AND THEN END WITH A FEW FAST PACED EFFORTS/SPRINTS - Warm up into the 130-140's HR, check how you feel - Then ease into a steady pace, 140-150's HR for first third of the day or longer - Mid ride, work a few tempo efforts, 10-20 plus minutes, 150-160HR ranges, 280-310 watts - Then get back into steady paced spinning and in the last 10-15 minutes of the day, work into a few 30-60 second fast paced efforts/sprints - 300-600 watts, just nuke it, easy spin to recover then another.","1.41666666666667","","2023-01-19","GET THE LEGS SPINNING FLUID, FEW SPRINTS ALL YOU NEED","32726.55078125","176","675","938.091"," *01/19/2023 Abigail Snyder: Zero motivation today. I blame the weather and the distraction of school and wanting to proactively get homework done. Legs felt ok, considering the gym workout earlier this morning. Heart rate seemed a bit low, but it felt way colder than temp indicated and lack of motivation may have attributed to that (my focus was definitely sub-optimal).*","1.47912395000458","6.14599990844727","","82","","135","159","","","0.761184830898375","85.26","0","1","6","25","38","19","0","","","","33","22","16","12","3","2","","","","","5","7"
"EverAthlete: RideStrong Strength","Strength","","0.75","","2023-01-19","","0","","","","","0.757611334323883","0","","","","81","108","","","0.528633639990061","23.3","35","0","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2023-01-19","","899.849975585938","","","","","0.250196099281311","0.999000012874603","","75","","103","138","","","0.341984909253706","3.13","15","0","0","0","0","","","","","","","","","","","","","","","","",""
"EverAthlete: Core","Strength","Complete Ride Strong Strength Cycle A weekly core session.","0.5","","2023-01-20","","0","","","","","0.461036384105682","0","","","","77","100","","","0.52726201595859","13.92","16","0","0","0","0","","","","","","","","","","","","","","","","",""
